PixCorr,SSIM,AlexNet(2),AlexNet(5),InceptionV3,CLIP,EffNet-B,SwAV,Brain Corr. nsd_general,Brain Corr. higher_vis,Brain Corr. EVC,method,subject,mode,AlexNet(1),AlexNet(3),AlexNet(4),AlexNet(6),AlexNet(7)
0.1171285964508869,0.5030404438306165,0.7272727272727273,0.9090909090909092,0.9090909090909092,0.4545454545454545,0.8758039534036625,0.5225971292593028,0.1897560060024261,0.1092721596360206,0.3098767399787903,MIRAGE,1,vision,,,,,
0.2048034940018498,0.6923667798321486,0.8181818181818182,0.6363636363636364,0.6363636363636364,0.7272727272727273,0.9030959870777744,0.4929636210559563,0.3417181372642517,0.1058362051844596,0.5183835029602051,MIRAGE,1,vision,,,,,
0.3594548653448492,0.6671489900083597,0.8181818181818182,0.8181818181818182,0.4545454545454545,0.5454545454545454,0.8318192022795048,0.4474350445238754,0.3309364914894104,0.1078530326485633,0.5081498026847839,MIRAGE,1,vision,,,,,
-0.0671531778952925,0.5262102326863423,0.1818181818181818,0.8181818181818182,0.8181818181818182,0.6363636363636364,0.9435619467601868,0.5163006898741092,0.1660162955522537,0.1132601425051689,0.1843119263648986,MIRAGE,1,vision,,,,,
0.24998955684539,0.4289284037876377,0.6363636363636364,0.9090909090909092,0.1818181818181818,0.8181818181818182,0.9090104577525956,0.5962252400973891,0.0231316927820444,0.1098838597536087,0.0160974115133285,MIRAGE,1,vision,,,,,
0.2420579149972223,0.5248392905693247,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.8666848948613108,0.5873050067435033,0.3888460993766784,0.2134818136692047,0.5203139185905457,MIRAGE,1,vision,,,,,
0.2737382341762832,0.4323054847746209,0.9090909090909092,0.3636363636363636,0.9090909090909092,0.9090909090909092,0.6801992025895119,0.6105983524657475,0.5020674467086792,0.4124538600444793,0.5072659850120544,MIRAGE,1,vision,,,,,
0.3268379137318358,0.6400957666810455,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.8181818181818182,0.7367832881293142,0.4371238258479699,0.2954388558864593,0.3455038666725158,0.2615807056427002,MIRAGE,1,vision,,,,,
0.199741763528477,0.2123709557900927,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,1.0039023963724625,0.5839885441047497,0.1659928262233734,0.1877723187208175,0.0903162658214569,MIRAGE,1,vision,,,,,
0.4062503161151869,0.2116664945427553,0.9090909090909092,0.2727272727272727,0.6363636363636364,0.4545454545454545,0.9267142271768724,0.5463430366135347,0.3247047662734985,0.3845026791095733,0.2848133444786072,MIRAGE,1,vision,,,,,
0.412650062025549,0.461801284881697,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.6717910649125649,0.3993110320847044,0.2944863140583038,0.3501659631729126,0.2314272075891494,MIRAGE,1,vision,,,,,
0.4099624307294596,0.099290279225095,0.9090909090909092,0.9090909090909092,0.8181818181818182,0.8181818181818182,0.921324799624212,0.6210185539279789,0.4304203689098358,0.4126226603984833,0.4451679587364197,MIRAGE,1,vision,,,,,
0.0859981987612202,0.5768085328363659,0.9090909090909092,0.9090909090909092,-0.0909090909090909,0.1818181818181818,0.836230465000861,0.4545123153251803,0.3640754222869873,0.1414223462343216,0.6026231050491333,MIRAGE,1,vision,,,,,
0.2908448937258809,0.679649967642027,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.6363636363636364,0.8647893055801064,0.4887972968535404,0.3393982350826263,0.1019568219780922,0.493990033864975,MIRAGE,1,vision,,,,,
0.310935294644351,0.5795097951507339,0.6363636363636364,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.824141359963216,0.4409525055276839,0.4047968685626983,0.2162436842918396,0.5748586654663086,MIRAGE,1,vision,,,,,
0.1293279200670875,0.5858423501147251,0.9090909090909092,0.9090909090909092,0.5454545454545454,0.5454545454545454,0.9010430881695052,0.5661858451149087,0.3192172348499298,0.1825480759143829,0.4600286483764648,MIRAGE,1,vision,,,,,
0.2854303902737412,0.4630201931225167,0.4545454545454545,0.8181818181818182,0.6363636363636364,0.9090909090909092,0.8675180351757334,0.5877235595735577,0.0549073554575443,0.1919395625591278,0.0325501039624214,MIRAGE,1,vision,,,,,
0.242057033290557,0.5797168327904747,0.9090909090909092,0.8181818181818182,0.7272727272727273,0.8181818181818182,0.8655490907032252,0.5477527606430015,0.3348399102687835,0.1919820010662078,0.458791434764862,MIRAGE,1,vision,,,,,
0.3346402944565794,0.4291496824288516,0.8181818181818182,0.2727272727272727,0.9090909090909092,0.9090909090909092,0.7425427093087955,0.6409285518487907,0.5071433186531067,0.4447110891342163,0.4700061678886413,MIRAGE,1,vision,,,,,
0.4621018589099802,0.6364013403073709,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.7795604953039854,0.4650698043459615,0.4058597087860107,0.3995413184165954,0.4526111781597137,MIRAGE,1,vision,,,,,
0.1996737926668056,0.1962186758882121,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.969698050464798,0.5899377250032871,0.201095849275589,0.1927164494991302,0.2211302071809768,MIRAGE,1,vision,,,,,
0.3004264266807082,0.1483570146809499,0.9090909090909092,0.4545454545454545,0.4545454545454545,0.2727272727272727,0.8831536997321149,0.555893588247562,0.2863757610321045,0.3709223866462707,0.1891497373580932,MIRAGE,1,vision,,,,,
0.4166898174168644,0.3945408403414266,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.7967719994104281,0.5008022136840997,0.3288511037826538,0.3808654844760895,0.2584338784217834,MIRAGE,1,vision,,,,,
0.3746809340477854,0.0903485394361504,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.7272727272727273,0.9217778149014212,0.6049493044715903,0.4207744002342224,0.4389838278293609,0.3439294695854187,MIRAGE,1,vision,,,,,
0.0009318554292655,0.6150675589156485,0.8181818181818182,0.8181818181818182,0.4545454545454545,0.2727272727272727,0.9332911201830916,0.523449756442536,0.2455719709396362,0.0369303561747074,0.4548268318176269,MIRAGE,1,vision,,,,,
0.2100961186027353,0.7511610366529842,0.9090909090909092,0.9090909090909092,0.8181818181818182,0.8181818181818182,0.8376494337055594,0.4411090456712129,0.3639196753501892,0.1698814481496811,0.5137295722961426,MIRAGE,1,vision,,,,,
0.3871253183993833,0.719068110672065,0.9090909090909092,0.9090909090909092,0.8181818181818182,0.5454545454545454,0.7152987253513352,0.4541204303503211,0.3699270188808441,0.0946034863591194,0.6091066002845764,MIRAGE,1,vision,,,,,
0.1222419333803225,0.6144014584238392,0.9090909090909092,0.9090909090909092,0.2727272727272727,0.5454545454545454,0.9229378362204148,0.5214917762001288,0.313461035490036,0.1691170632839203,0.4567458033561706,MIRAGE,1,vision,,,,,
0.3087556086457791,0.4668407510094716,0.4545454545454545,0.9090909090909092,0.5454545454545454,0.8181818181818182,0.8686338215139154,0.5541621010873259,-0.0129053499549627,-0.0533796995878219,0.096816562116146,MIRAGE,1,vision,,,,,
0.2938182488373738,0.570726261738979,0.9090909090909092,0.9090909090909092,0.8181818181818182,0.5454545454545454,0.9481364836106514,0.5904042466606374,0.249989703297615,0.13383848965168,0.3611979484558105,MIRAGE,1,vision,,,,,
0.275273849129361,0.4347533325227939,0.6363636363636364,0.2727272727272727,0.8181818181818182,0.9090909090909092,0.8070832776741979,0.6113747368152549,0.5194638967514038,0.3976084291934967,0.5718790888786316,MIRAGE,1,vision,,,,,
0.3232100330906441,0.6384710917576933,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.6914116775363923,0.4075990907290794,0.2721033692359924,0.3365110754966736,0.2224587202072143,MIRAGE,1,vision,,,,,
0.1776726517080301,0.1941418391652317,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.980067278995511,0.6247196323418538,0.1864051967859268,0.1827952563762664,0.1973540335893631,MIRAGE,1,vision,,,,,
0.389815770339128,0.1816166331807151,0.9090909090909092,0.5454545454545454,0.9090909090909092,0.1818181818181818,0.8881626675771964,0.5783164106429626,0.3065192699432373,0.3867876827716827,0.2947398424148559,MIRAGE,1,vision,,,,,
0.3350089191277333,0.3958668788295763,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.7097656446097993,0.4397149707262313,0.3210829496383667,0.3740705549716949,0.2173499763011932,MIRAGE,1,vision,,,,,
0.3105654096265055,0.0995516363355396,0.9090909090909092,0.9090909090909092,0.7272727272727273,0.0909090909090909,0.8753913809745811,0.6401170589129273,0.4097932279109955,0.4093261063098907,0.4252783060073852,MIRAGE,1,vision,,,,,
0.0008182725413056,0.6315134502210417,0.9090909090909092,0.9090909090909092,0.8181818181818182,0.2727272727272727,0.8612037144162445,0.565014943441833,0.2013123035430908,0.0830475017428398,0.3811231553554535,MIRAGE,1,vision,,,,,
0.2674238136654449,0.6909848448612362,0.9090909090909092,0.7272727272727273,0.5454545454545454,0.6363636363636364,0.947001647204626,0.4849581873350287,0.3611074388027191,0.1010637953877449,0.5506032109260559,MIRAGE,1,vision,,,,,
0.3027876218293118,0.6123378456180771,0.6363636363636364,0.9090909090909092,0.7272727272727273,0.9090909090909092,0.8810644060208692,0.4712880160010252,0.3253097236156463,0.0810187682509422,0.5183348655700684,MIRAGE,1,vision,,,,,
0.1096565659640289,0.603697712989953,0.9090909090909092,0.9090909090909092,0.8181818181818182,0.4545454545454545,0.9973066057297116,0.6140607234852629,0.3225668370723724,0.2092461585998535,0.4289475381374359,MIRAGE,1,vision,,,,,
0.2779674065671531,0.4679296728425194,0.7272727272727273,0.9090909090909092,0.1818181818181818,0.9090909090909092,0.8935954747677602,0.5800135467736105,0.1871327310800552,0.1975944340229034,0.2386737614870071,MIRAGE,1,vision,,,,,
0.3261000286945196,0.4449334724752674,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9177794785573132,0.5738022872544852,0.2739970684051513,0.1708301901817321,0.3658217191696167,MIRAGE,1,vision,,,,,
0.1674774240097181,0.4118116593621699,0.6363636363636364,0.3636363636363636,0.8181818181818182,0.9090909090909092,0.7624755867572843,0.6297857589455809,0.5243639945983887,0.4369498491287231,0.5261806845664978,MIRAGE,1,vision,,,,,
0.4628415083886938,0.6404275070018438,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.6820792572607575,0.4349874269556535,0.3721153140068054,0.3613304793834686,0.4414884150028229,MIRAGE,1,vision,,,,,
0.1508463297407732,0.2079472575686515,0.9090909090909092,0.9090909090909092,0.8181818181818182,0.9090909090909092,0.9748135801226158,0.5786912999424658,0.1381580382585525,0.1679118871688842,0.0866516008973121,MIRAGE,1,vision,,,,,
0.3940998563396539,0.1708578764625433,0.9090909090909092,0.4545454545454545,0.9090909090909092,0.0909090909090909,0.8783813610990586,0.5826503261648558,0.3368918299674988,0.3872218132019043,0.3666107952594757,MIRAGE,1,vision,,,,,
0.3083278834474927,0.3873830367613358,0.8181818181818182,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.7552762039239282,0.4152489754387147,0.3362317085266113,0.3719348609447479,0.2525336444377899,MIRAGE,1,vision,,,,,
0.3946937945921008,0.0968055068942572,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.5454545454545454,0.8189141589953881,0.5965004145330761,0.4306620359420776,0.4368650019168854,0.3708045780658722,MIRAGE,1,vision,,,,,
-0.1132463376157274,0.5143244819543478,0.7272727272727273,0.8181818181818182,0.7272727272727273,0.4545454545454545,0.869734679364375,0.6459245385247345,0.154971107840538,0.0895344465970993,0.2485578954219818,MIRAGE,1,vision,,,,,
0.0989842124009306,0.6845591011347253,0.9090909090909092,0.7272727272727273,0.5454545454545454,0.7272727272727273,0.947484782742186,0.4389900328144622,0.3235983848571777,0.1415663063526153,0.4638714492321014,MIRAGE,1,vision,,,,,
0.3164810133232136,0.5957911605867767,0.9090909090909092,0.9090909090909092,0.2727272727272727,0.9090909090909092,0.8909964572763045,0.5088801272827177,0.3858044147491455,0.1858644932508468,0.5697753429412842,MIRAGE,1,vision,,,,,
0.1173943942784023,0.5843582820340344,0.9090909090909092,0.9090909090909092,0.0909090909090909,0.5454545454545454,0.9806497722250548,0.5419100264887468,0.3330717980861664,0.2028974294662475,0.4544131755828857,MIRAGE,1,vision,,,,,
0.2779517360123991,0.4389114993363369,0.5454545454545454,0.7272727272727273,0.8181818181818182,0.9090909090909092,0.8446900671240147,0.6414928064302314,0.0352102667093277,-0.0142964534461498,0.1248223334550857,MIRAGE,1,vision,,,,,
0.2950843651362599,0.533187536875367,0.9090909090909092,0.9090909090909092,0.9090909090909092,0.8181818181818182,0.8045877475261382,0.5727417526980595,0.2837518155574798,0.1732561141252517,0.4176797568798065,MIRAGE,1,vision,,,,,
0.3275235867912063,0.4471643231692866,0.9090909090909092,0.3636363636363636,0.7272727272727273,0.9090909090909092,0.7012475500584099,0.5714565749035794,0.5516001582145691,0.4241935610771179,0.6126964092254639,MIRAGE,1,vision,,,,,
